仓库信息,平均温度,粮情时间
13仓,4.599999904632568,2015-04-11
13仓,4.599999904632568,2015-04-12
13仓,4.599999904632568,2015-04-13
13仓,4.599999904632568,2015-04-14
13仓,4.599999904632568,2015-04-15
13仓,1.2999999523162842,2015-04-16
13仓,1.350000023841858,2015-04-17
13仓,4.599999904632568,2015-04-18
13仓,4.699999809265137,2015-04-20
13仓,1.4000000953674316,2015-04-21
13仓,1.5999999046325684,2015-04-22
13仓,1.5999999046325684,2015-04-23
13仓,1.5,2015-04-24
13仓,1.649999976158142,2015-04-25
13仓,1.649999976158142,2015-04-26
13仓,1.7000000476837158,2015-04-27
13仓,4.699999809265137,2015-04-28
13仓,1.7000000476837158,2015-04-29
13仓,1.75,2015-04-30
13仓,1.850000023841858,2015-05-01
13仓,1.9500000476837158,2015-05-04
13仓,1.9500000476837158,2015-05-05
13仓,2.0,2015-05-06
13仓,4.800000190734863,2015-05-07
13仓,2.049999952316284,2015-05-08
